sample_name,cluster
SA0342,Africa_middle_east
HGDP00465,Africa_middle_east
HGDP00934,Africa_middle_east
HGDP01283,Africa_middle_east
HGDP00941,Africa_middle_east
HGDP01090,Africa_middle_east
HGDP01032,Africa_middle_east
HGDP00467,Africa_middle_east
HGDP00906,Africa_middle_east
HGDP01416,Africa_middle_east
HGDP01417,Africa_middle_east
HGDP00463,Africa_middle_east
HGDP01285,Africa_middle_east
HGDP01201,Africa_middle_east
HGDP00933,Africa_middle_east
HGDP00987,Africa_middle_east
HGDP00943,Africa_middle_east
HGDP00453,Africa_middle_east
HGDP00914,Africa_middle_east
HGDP01081,Africa_middle_east
HGDP00928,Africa_middle_east
HGDP01028,Africa_middle_east
HGDP01086,Africa_middle_east
HGDP01033,Africa_middle_east
Ayodo_502C,Africa_middle_east
HGDP01094,Africa_middle_east
Ayodo_430C,Africa_middle_east
DNK07,Africa_middle_east
HGDP00920,Africa_middle_east
HGDP00918,Africa_middle_east
NA21581,Africa_middle_east
HGDP00930,Africa_middle_east
HGDP00919,Africa_middle_east
HGDP00911,Africa_middle_east
HGDP01029,Africa_middle_east
HGDP00474,Africa_middle_east
SA0722,Africa_middle_east
HGDP01034,Africa_middle_east
NA21490,Africa_middle_east
HGDP01411,Africa_middle_east
HGDP01202,Africa_middle_east
HGDP00466,Africa_middle_east
HGDP00940,Africa_middle_east
HGDP01406,Africa_middle_east
HGDP00924,Africa_middle_east
HGDP01415,Africa_middle_east
HGDP00932,Africa_middle_east
HGDP00915,Africa_middle_east
HGDP00984,Africa_middle_east
HGDP00450,Africa_middle_east
HGDP00908,Africa_middle_east
HGDP00452,Africa_middle_east
HGDP00468,Africa_middle_east
HGDP01036,Africa_middle_east
HGDP01087,Africa_middle_east
HGDP00464,Africa_middle_east
HGDP00992,Africa_middle_east
HGDP01200,Africa_middle_east
HGDP01030,Africa_middle_east
HGDP00475,Africa_middle_east
HGDP01270,Africa_middle_east
HGDP00478,Africa_middle_east
HGDP00905,Africa_middle_east
HGDP00936,Africa_middle_east
HGDP00985,Africa_middle_east
HGDP01414,Africa_middle_east
HGDP00982,Africa_middle_east
HGDP00929,Africa_middle_east
HGDP00909,Africa_middle_east
HGDP00472,Africa_middle_east
DNK11,Africa_middle_east
DNK05,Africa_middle_east
HGDP00476,Africa_middle_east
HGDP01418,Africa_middle_east
HGDP00457,Africa_middle_east
HGDP01413,Africa_middle_east
HGDP00455,Africa_middle_east
HGDP00935,Africa_middle_east
HGDP01412,Africa_middle_east
HGDP00938,Africa_middle_east
HGDP01035,Africa_middle_east
HGDP01286,Africa_middle_east
HGDP00910,Africa_middle_east
HGDP00471,Africa_middle_east
HGDP00917,Africa_middle_east
HGDP00461,Africa_middle_east
HGDP00454,Africa_middle_east
HGDP01405,Africa_middle_east
HGDP00926,Africa_middle_east
HGDP00449,Africa_middle_east
HGDP00904,Africa_middle_east
HGDP00469,Africa_middle_east
HGDP00983,Africa_middle_east
HGDP00939,Africa_middle_east
HGDP00986,Africa_middle_east
HGDP00458,Africa_middle_east
HGDP01408,Africa_middle_east
HGDP00473,Africa_middle_east
HGDP00993,Africa_middle_east
HGDP00925,Africa_middle_east
HGDP01092,Africa_middle_east
HGDP00459,Africa_middle_east
HGDP00981,Africa_middle_east
HGDP00470,Africa_middle_east
HGDP00912,Africa_middle_east
HGDP00937,Africa_middle_east
HGDP00460,Africa_middle_east
NA19044,Africa_middle_east
HGDP00942,Africa_middle_east
HG01983,America.1
NA19661,America.1
NA19746,America.1
NA19663,America.1
HG02147,America.1
NA19720,America.1
HG01992,America.1
HG02008,America.1
HG01979,America.1
NA19771,America.1
HG01965,America.1
NA19735,America.1
NA19762,America.1
HG02302,America.1
NA19664,America.1
HG01944,America.1
NA19732,America.1
HG01918,America.1
HG01946,America.1
NA19740,America.1
NA19776,America.1
HG02271,America.1
NA19731,America.1
HG02292,America.1
HG01947,America.1
NA19728,America.1
HG02303,America.1
HG01953,America.1
HG02275,America.1
HG01579,America.1
HG02259,America.1
HG02301,America.1
NA19794,America.1
HG01937,America.1
HG01984,America.1
HG02265,America.1
HG02734,America.1
NA19747,America.1
NA19683,America.1
HG01942,America.1
NA19788,America.1
HG02300,America.1
NA19681,America.1
HG01927,America.1
HG02089,America.1
HG02261,America.1
NA19787,America.1
HG02735,America.1
NA19655,America.1
HG01982,America.1
HG01935,America.1
HG01997,America.1
HG01971,America.1
HG02146,America.1
NA19758,America.1
HG02279,America.1
HG02286,America.1
HG01435,America.1
HG01941,America.1
NA19774,America.1
HG01961,America.1
NA19716,America.1
NA19657,America.1
HG01566,America.1
NA19719,America.1
HG01567,America.1
HG01951,America.1
NA19741,America.1
NA19662,America.1
HG01932,America.1
HG01976,America.1
HG02312,America.1
NA19786,America.1
HG01950,America.1
NA19761,America.1
NA19782,America.1
NA19748,America.1
NA19775,America.1
HG01919,America.1
NA19770,America.1
HG01955,America.1
NA19724,America.1
HG01968,America.1
HG02345,America.1
HG02260,America.1
HG02278,America.1
NA19665,America.1
HG02287,America.1
HG02253,America.1
NA19796,America.1
NA19778,America.1
NA19686,America.1
HG01917,America.1
HG02299,America.1
NA19727,America.1
HG02252,America.1
NA19757,America.1
HG02293,America.1
HG02003,America.1
HG01924,America.1
NA19658,America.1
NA19722,America.1
NA19773,America.1
HG01936,America.1
NA19777,America.1
HG02266,America.1
HG02272,America.1
HG02104,America.1
HG01577,America.1
HG01920,America.1
HG01967,America.1
HG01923,America.1
NA19717,America.1
HG01925,America.1
HG01369,America.1
HG02262,America.1
HG02348,America.1
HG01893,America.1
NA19783,America.1
NA19685,America.1
HG01939,America.1
NA20314,America.1
HG02102,America.1
NA19780,America.1
NA19682,America.1
HG01943,America.1
HG01972,America.1
HG01572,America.1
HG02285,America.1
HG01934,America.1
NA19729,America.1
NA19760,America.1
NA19785,America.1
HG01565,America.1
NA19779,America.1
HG01945,America.1
NA19725,America.1
HG01922,America.1
NA19726,America.1
HG01977,America.1
NA19756,America.1
NA19772,America.1
HG01974,America.1
HG02273,America.1
HG01938,America.1
NA19784,America.1
HG01993,America.1
HG01970,America.1
NA19763,America.1
HG01969,America.1
NA19730,America.1
HG01949,America.1
NA19671,America.1
NA19795,America.1
HG02298,America.1
HG01973,America.1
NA19734,America.1
NA19684,America.1
HG01921,America.1
HG01571,America.1
HG02004,America.1
HG01998,America.1
HG01981,America.1
HG01933,America.1
HG02105,America.1
NA19759,America.1
NA19752,America.1
HG02304,America.1
NA19733,America.1
HG01954,America.1
HG01952,America.1
NA19659,America.1
HG02150,America.1
HG02002,America.1
NA19656,America.1
NA19669,America.1
HG02291,America.1
NA19670,America.1
HG02106,America.1
HG01573,America.1
NA19755,America.1
HG02425,America.1
HG01978,America.1
HG01578,America.1
HG01892,America.1
HG01940,America.1
HG02277,America.1
NA19718,America.1
NA19721,America.1
HG01975,America.1
HG01898,America.1
HG01926,America.1
HG01980,America.1
NA19781,America.1
HG01928,America.1
NA19790,America.1
NA19789,America.1
HG02148,America.1
HG01948,America.1
NA19660,America.1
NA19654,America.1
HG01991,America.1
NA19723,America.1
HG01367,America.2
HG01361,America.2
HG01379,America.2
HG00741,America.2
HG00743,America.2
HG00738,America.2
HG01064,America.2
HG01062,America.2
HG01384,America.2
HG01455,America.2
HG01052,America.2
HG01124,America.2
HG01550,America.2
HG01047,America.2
NA19625,America.2
HG01392,America.2
HG01273,America.2
HG01100,America.2
HG01161,America.2
HG01365,America.2
NA19678,America.2
NA19680,America.2
HG00554,America.2
HG01255,America.2
HG01495,America.2
NA19651,America.2
HG01096,America.2
HG01366,America.2
NA19751,America.2
HG01134,America.2
HG01206,America.2
HG01277,America.2
HG01355,America.2
HG01281,America.2
NA19675,America.2
HG01479,America.2
HG01126,America.2
HG02274,America.2
NA19749,America.2
HG01352,America.2
NA19652,America.2
HG00637,America.2
HG01461,America.2
