Sample name,Biosample ID,Universal_ID,Population elastic IDs,Population name,Population description,Superpopulation name,Population latitude,Population longitude,Color
HG01141,SAME124423,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01111,SAME123486,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01172,SAME124625,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01177,SAME124620,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01130,SAME1839995,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01184,SAME124321,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01135,SAME123886,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01189,SAME124878,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01046,SAME123167,CDX,CDX,Dai Chinese,"Chinese Dai in Xishuangbanna, China",East Asia,22.0,100.78,#008000
HG01191,SAME123651,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01053,SAME124866,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01204,SAME124297,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01058,SAME1840086,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01242,SAME125064,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01060,SAME123015,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01247,SAME125067,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01072,SAME124091,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01088,SAME1839361,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01077,SAME1839581,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01084,SAME125392,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01095,SAME122926,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01325,SAME1839604,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01103,SAME123679,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01344,SAME124862,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01108,SAME123103,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01349,SAME124865,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01110,SAME123487,PUR,PUR,Puerto Rican,Puerto Rican in Puerto Rico,America,18.4,-66.1,#FF0000
HG01351,SAME124683,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01122,SAME1840203,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01356,SAME124682,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01134,SAME123887,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01363,SAME1839059,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01139,SAME123876,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01255,SAME125286,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG00592,SAME125011,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01274,SAME123001,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG00597,SAME125008,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
HG01279,SAME123004,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG01281,SAME1839107,CLM,ColombianHGDP;CLM,Colombian,Colombian in Colombia,America,3.0,-68.0,#FF0000
HG00612,SAME125197,CHS,CHS,Southern Han Chinese,Han Chinese South,East Asia,23.13333,113.266667,#008000
